item,frequency
Sports Competitions (Pertandingan Sukan),5
News Searches (Carian Berita),5
Músicos y bandas,10
¿Cómo?,20
¿Qué?,20
Trending festivals en events,5
Trending persoonlijkheden nationaal,5
Trending zoekopdrachten,5
Trending zoekopdrachten crisis en conflicten,5
Trending zoekopdrachten ‘hoe werkt’,5
Trending zoekopdrachten ‘wat is’,5
Athlete / Sport Personalities,5
Sport Competitions,5
TV Series / Movies,5
Toppliste,5
Emoji,5
Hva betyr...?,5
Hva skjer...?,5
Hva...?,5
Håndarbeid,5
Idrettspersonligheter,5
Jeg-vil-vite,5
Oppskrifter,25
Oppskrifter - søte saker,5
Podcast,5
Politikere,5
Politiske partier,5
På nett,5
På TV,5
Spill,5
Spørsmål om skjønnhet,5
Female Personalities,20
Male Personalities,20
Songs (Lyrics),10
Local Vacation Destinations,5
International Vacation Destinations,5
Where is...?,25
Who is...?,15
"Tematy, o których się mówiło",10
Top de pesquisas gerais,5
Figuras publicas,5
Concerte,5
Emisiuni TV,5
Evenimente,5
Oameni,5
События года,5
Мемы года,10
"Les requêtes ""Comment"" les plus populaires",5
Les requêtes les plus populaires,5
Les évènements les plus recherchés,5
Personnalités sénégalaises,5
Overall Searches,40
Political Figures,10
IT기기,5
TV 프로그램,20
경제,5
국제뉴스,5
기업,5
사회,5
소비재,5
음악,10
조리법,5
키즈,5
Los términos que más crecieron,5
Sökningar,5
Selfie,5
Artist/Grupp,5
Låttext - svensk,5
Låttext - engelsk,5
Film- & TV-personlighet,5
Idrottare,5
Kalorier,10
"Frågor som börjar med ""Vem...?""",5
Schweizer Promis,10
Berggipfel,10
Was sind...?,10
Wie macht...?,5
Schweizer Seen,5
快速竄升政治人物,10
快速竄升政治與社會議題,5
快速竄升關鍵字,30
快速竄升電影,30
快速竄升電視劇,15
Thai News,5
Movies of 2015,5
Songs of 2015,5
Kişi,10
TV Programları,5
Yükselen Genel Aramalar,5
Overall Trending Searches,20
Запит року,5
Навіщо?,5
Персона року,25
Покупка,20
ТВ-шоу року,20
Female Celebrities,5
Hits,5
Holiday Destinations,5
Male Celebrities,5
Premier League Football,5
TV Stars,5
When is...?,5
Beauty Questions,10
Celebrity Weddings,5
Dog Questions,10
Fashion Questions,5
GIF,5
Losses,70
Men's Soccer Players,10
Oscar Red Carpet Dresses,10
Travel Questions,10
WNBA Teams,10
Women's Soccer Players,10
Tìm kiếm Nổi bật Nhất 2015,5
Tin Quốc tế,5
Tin Trong nước,5
Nhân vật,10
Công thức,5
Chương trình Truyền hình,5
Phim,5
Sự kiện,10
Định nghĩa,10
Cuándo...,5
Overall Searches (Trending),10
News (Trending),10
Aussies (Trending),5
Global People (Trending),10
Loss (Trending),10
Sporting Events (Trending),10
Die Themen & Schlagzeilen des Jahres,5
Polit-Prominenz,5
Aufreger & Skandale,10
"Menschen, die wir vermissen",10
"Events, Shows & Festivals",5
Promis Österreich,10
Was,5
Wie,5
Самые популярные запросы,30
Trending gebeurtenissen / Les événements en progression,10
Trending internationale persoonlijkheden / Les personnalités internationales en progression,10
Trending politici / Les politiciens en progression,10
Trending TV-programma’s / Les programmes télé en progression,10
Trending zoekopdrachten ‘Hoe werkt…’,10
Trending zoekopdrachten ‘Wat is…’,10
Música (Artistas),5
Porque...,5
Canadian Athletes,5
Consumer Technology,5
What is?,10
Who is?,5
Cómo se hace...,5
Nos Dejaron...,5
Personajes Noticiosos,10
Series y TV,5
Tendencias 2016,25
Cómo hacer...,20
Gaming,20
Personajes,95
Qué pasa si...,20
Skokani roku,5
Zahraniční celebrity,5
Místní celebrity,5
Potraviny,5
Sportovní osobnosti,5
Co je,5
Kdo je,5
Danske personer,5
Udenlandske personer,15
Tv-programmer,5
Begivenheder,5
Opskrifter,5
المسلسلات,35
Yhteiskunnalliset aiheet,10
Ruoka,5
Bloggarit & Tubettajat,5
Haluatko miljonääriksi -kysymykset,5
Kaupalliset,15
Onko...?,10
TV-ohjelmat ja sarjat,5
Urheilutapahtumat,5
Les actualités,15
Comment ?,10
Les acteurs,5
Les chansons,5
Les films,25
Les jeux vidéos,5
Les personnalités de la TV,5
Les sportifs,20
Les séries,5
Les évènements sportifs,5
Promis national,5
Promis international,5
Abschiede,35
Fragen: Warum ...?,5
Fragen: Was ...?,5
Fragen: Wie ... ?,5
DEVICES,5
ENTERTAINERS,5
FOOTBALL TEAMS,5
GHANAIAN MUSICIANS,5
MOVIES / TV SHOWS,5
MUSIC,5
PEOPLE,10
STORIES,10
Γεγονότα – Διοργανώσεις,5
Διασημότητες,25
Σειρές και Τηλεοπτικά Προγράμματα,5
Τι σημαίνει,5
熱爆國際人物,5
熱爆電視節目,5
Felkapott...akarok,5
Felkapott...hol? hova?,5
Koncertek,5
Színházak,5
Bollywood Actor (Female),5
Bollywood Actor (Male),5
Atlet,5
Peristiwa Olahraga,5
Kepergian Tokoh,15
Bagaimana Cara,5
Dekat Sini,5
"Teknologi (Gim, Aplikasi, Gawai)",5
Top trending searches,15
News moments,5
Famous men,10
Famous women,10
Sports events,5
Sportspeople,5
Tech devices,10
When is,5
בחדשות,15
טלויזיה - סדרות,5
מוזיקה,10
ספורט,5
Eventi,20
Perché...,15
Cosa significa...,15
Come fare...,15
Mete vacanze,20
話題の人（故人）,5
Japan  （世界が検索した Japan ）,5
Tokyo  （世界が検索した Tokyo ）,5
General Trending Searches,10
"Trending ""How To"" Health Searches",5
"Trending ""How To"" Searches",10
"Trending ""What Is"" Searches",5
News (Berita),5
Malay Dramas (Drama Melayu),5
Local Celebs (Selebriti Tempatan),5
How to,20
Near me,40
Apakah,5
Bagaimana,5
Kenapa,5
Car models (Model kereta),5
Mobile devices (Peranti mudah alih),5
Futbolistas,10
In Memoriam,25
Juegos Olímpicos 2016,5
Personalidades,50
Series,5
Zoekopdrachten,25
Challenges,5
Eten,5
Kiwis (Trending),5
ACTORS,5
HOW TO,5
MOBILE PHONES,5
MOVIES / TV SERIES,5
PEOPLE IN SPORTS,5
RECIPES,5
SONGS,5
WHAT IS,5
Cantantes & Grupos Musicales,5
Novelas y Series,5
Partidos de Fútbol,5
Personajes de Actualidad,5
Top Trending Searches (Overall),5
Vacation Destinations (Local),5
Vacation Destinations (International),5
Najbardziej zyskujące na popularności,10
Jak...?,10
Piłkarze reprezentacji w piłce nożnej,5
Geral,20
Figuras Nacionais,5
Figuras internacionais,5
Jogadores de futebol,5
Como ser...,5
Elecciones 2016,5
Cine este...?,5
"Cum se, cum să...?",5
Căutări populare,25
Evenimentele anului 2016,5
Планы года (начать...),5
Российские фильмы,5
Туристические направления,5
Les questions “Comment” les plus populaires,5
Les questions “Que signifie” les plus populaires,5
Les recherches les plus populaires,5
Destinations,10
Top Searches in 2016,5
Domáce a svetové udalosti,5
Športové podujatia,10
Smutné odchody,20
South African Celebrities,5
South African Politicians and Prominent figures,5
South African TV Shows,5
IT,5
국내뉴스/사회,5
만화/웹툰,5
인물,10
Cómo ser...,5
Qué pasaría si...,5
Årets mest trendande sökningar 2016,5
"Frågor som börjar med ""Hur..?""",5
TV & Radio,15
"Frågor som börjar med ""Vem..?""",5
Artister/Grupper,5
Film- & TV-personligheter,5
"Frågor som börjar med ""Varför..?""",5
Filmer,5
"Frågor som börjar med ""Vad..?""",5
Skandale und Aufreger,5
Städte und Dörfer,5
Wie funktioniert...?,5
Wie mache...?,5
快速竄升議題,25
快速竄升人物,5
快速竄升明星,5
พระบาทสมเด็จพระปรมินทร มหาภูมิพลอดุลยเดช,5
คำค้นหายอดนิยมประจำปี,5
บุคคล,15
บุคคลที่ล่วงลับไปแล้ว,5
ข่าวต่างประเทศ,10
ข่าวในประเทศ,20
ความสวยความงาม,5
คืออะไร,5
ทีมกีฬา,5
นักกีฬา,5
ภาพยนตร์,15
ยานยนต์,5
ละคร,15
สถานที่ท่องเที่ยวต่างประเทศ,10
สถานที่ท่องเที่ยวในประเทศ,15
สูตรอาหาร,10
เกมส์,5
เพลง,25
แอปพลิเคชัน,5
โรคต่างๆ,5
ไอทีและแก็ดเจ็ต,5
Nedir?,5
Nasıl?,5
Diziler,5
Genel Aramalar,15
Yemek Tarifleri,5
Навіщо?/Зачем?,5
Що таке?/Что такое?,5
Top trending,5
News events,5
Beauty,5
Fashion questions,5
How to cook?,5
How to?,5
Sporting events,15
Where is?,5
Election Moments,5
Election Questions,5
GIFs,10
MLS Soccer Teams,5
NHL Players,5
Olympic Athletes,5
Olympic Events,5
Olympic Moments,5
Soccer Teams (all),5
WNBA Players,5
Tìm kiếm nổi bật 2016,5
Tin trong nước,5
Tin quốc tế,5
Phim trong và ngoài nước,5
Phim Việt Nam,5
Công thức- Cách làm,5
Tìm kiếm địa điểm gần,5
Chương trình truyền hình,5
Elections,5
Songs/Lyrics,10
Qué,60
Series y programas de TV,25
Overall searches,10
Global people,10
Why is...?,10
Suchbegriffe des Jahres,25
Aufreger-Promis,5
"""Was...?"" Fragen",10
"""Wie...?"" Fragen",10
Les recherches « C'est quoi » en progression,5
Les recherches « Comment » en progression,5
Buscas,10
Como fazer?,10
O que é?,10
Por quê?,15
Acontecimentos,20
Programas e Séries,15
Times da Série A,5
Tecnologia,15
Популярно търсене,5
Спортни събития,15
Филми,10
How...,15
Canadian News,20
Why...,25
"Películas, Cine y TV",5
Cuándo,15
Cómo Hacer,5
Tendencias 2017,20
Acontecimientos del Año,10
El año en deportes,10
Las preguntas del año,10
¿Qué significa?,15
Letras de canciones,25
Series/Novelas/Películas,10
Acontecimientos del año,65
Preguntas del año,50
Series y Novelas,10
Hrvatski najtraženiji pojmovi,10
Događanja,15
Filmovi,10
Trendy roku,20
Události roku,10
Místní osobnosti,5
Loučení,5
Jak,5
Co,5
Kdo,5
Recept,15
Top trending danskere,5
Top trending kultur og underholdning,5
Top trending sport,5
Top trending spørgsmål,5
Top trending søgninger,5
Top trending udenlandske personer,5
المباريات,10
Enim otsitud sõnad ja fraasid,5
Enim otsitud telesaated,5
Enim otsitud üritused ja tähtpäevad,5
Miten/Kuinka...?,5
Mikä...?,5
Mitä...?,5
Les séries TV,10
Les paroles de chansons,15
Les recettes,15
Les personnalités politiques,15
Persönlichkeiten,20
Sportevents,10
TV-Shows,5
Was-Fragen,35
Warum-Fragen,10
Wo-Fragen,20
Events / Stories,10
Questions,40
Sports people,15
Ταχυτερα αυξανομενες αναζητησεις,5
熱爆本地話題人物,20
熱爆國際話題人物,20
熱爆本地活動,10
熱爆財經話題,5
熱爆 Gadget,5
A legkeresettebb sportesemények,5
Az év eseményei,5
Mozifilmek,10
Népszerű szórakoztató műsorok,5
Entertainers,5
Sporting Events,40
Cara Menjadi..,5
How To...?,10
טלויזיה,5
「比較」されたトピック,5
Japan（世界が検索した Japan ）,5
Tokyo（世界が検索した Tokyo ）,5
Персона года / Жыл адамы,5
Самые популярные запросы / Ең әйгілі сұранымдар,5
Фильм года / Жыл фильмі,5
Top Trending Searches,15
Trending How To,5
Trending Sports Personalities,5
Trending What Is,20
Meklētākās frāzes,5
Notikumi,10
Populiariausios paieškos,10
Filmai,15
Renginiai ir įvykiai,5
Carian (Searches),5
Orang (People),5
Berita (News),5
Peranti (Devices),5
Filem (Movies),5
Siri Tempatan,5
Eredivisieclubs,5
Hoe werkt...?,5
Nederlands vrouwenelftal,5
Nederlandse politici,5
Nederlandse sporters,5
Nederlandse YouTubers,5
Overledenen,5
Wat is...?,25
Movies / TV Series,10
Hva er..?,5
Hvordan..?,5
Hvorfor..?,5
Norske kvinner,15
Norske menn,15
Nyheter,5
Søk,20
Series y Telenovelas,5
Artistas musicales,5
Songs and Lyrics,5
Seriale,10
Przepisy na potrawy,5
GERAL,5
FIGURAS NACIONAIS,5
FIGURAS INTERNACIONAIS,5
PROGRAMAS TV,5
EVENTOS DESPORTIVOS,5
O QUE É...?,5
Cum...?,5
Evenimentele anului,5
События и явления,5
Рэп-исполнители,5
Утраты,15
Как начать?,5
الأكلات,5
Najtraženiji pojmovi u Srbiji,5
Događaji,15
TV Serije,5
"Top Trending ""Near Me"" Searches",5
"Top Trending Destinations (""Things to do in"")",5
Top Trending Events in Singapore,5
Top Trending Gadgets,10
Top Trending International News,10
Top Trending Local News,10
Top Trending Movies,10
Top Trending TV Shows,10
Trendy roka,20
Udalosti roka,5
Miestne osobnosti,5
Svetové osobnosti,5
Ako,5
Televízne show a eventy,5
Recepty,10
Najbolj priljubljena splošna iskanja,5
Filmi,10
Glasbeniki,15
Zabavne televizijske vsebine,20
Near Me,5
Personalities,30
인물 (종합),5
인물 (정치인),5
인물 (연예인),5
국내 뉴스/이슈,15
웹툰,5
"Cine, TV y Series",5
Frågor som börjar med “Hur”,5
Frågor som börjar med “Vad”,5
"Frågor som börjar med “Varför""",5
Frågor som börjar med “Vem”,5
Årets mest trendande sökningar 2017,5
Festivals & Events,5
Internationale Persönlichkeiten,5
Menschen die wir vermissen,5
Schweizer Persönlichkeiten,10
Wie-Fragen,30
快速竄升人物（不包含已故者）,20
快速竄升政治人物（不包含已故者）,20
快速竄升影視名人（不包含已故者）,5
คำค้นหาประจำปี,15
สถานที่ (ร้านอาหาร),5
ประเภทอาหาร,5
รายการโทรทัศน์,10
How-to,10
การซื้อสินค้า,5
สถานที่ทั่วไป,5
Nedir,5
Ünlüler,5
Питання: “Навіщо?/Зачем?”,5
Питання: “Чому?/Почему?”,10
Питання: “Що таке?/Что такое?”,10
Питання: “Як?/Как?”,20
الأحداث المحلية,5
الأخبار,10
الأفلام,10
الشخصيات,5
What Is…?,5
News Events,40
UK Number 1 Singles,5
Activations (protests),5
Calories,5
Dog Breeds,5
Professional Sports Teams,10
¿Dónde...?,5
Tìm Kiếm Nổi Bật,5
Tin Trong Nước,5
Tin Quốc Tế,5
Ứng Dụng,10
Nhân Vật,20
Bài Hát,15
Phim Truyện,5
Chương Trình Truyền Hình,5
Lễ Hội,5
Búsquedas 2018,15
What is…?,10
Why is…?,5
Themen des Jahres,5
Promis & Aufreger Österreich,5
ТВ-шоу года,10
Zoekopdrachten / Recherches,15
Hoe...,10
Rode Duivels / Diables Rouges,5
Internationale persoonlijkheden / Les personnalités internationales,15
Belgische persoonlijkheden / Les personnalités belges,15
Séries,15
Programas de TV e novelas,5
Times da série A,5
Mortes,15
Virou meme,10
Músicas (Letras),5
Характерни търсения,10
ТВ предавания и риалити формати,5
Hechos y Personajes Noticiosos,5
Nos dejaron,5
"Películas, series, TV",5
Tendencias 2018,25
Acontecimientos 2018,25
"Series, Novelas y TV",5
Qué significa,5
Personajes del año,25
"Series, Novelas y Programas de TV",25
Osobe,10
České osobnosti,15
Zahraniční osobnosti,15
Smutná loučení,15
Jak?,20
Co?,5
Kdy?,5
Danskere,15
Udenlandske personer (nulevende),5
Underholdning,15
Spørgsmål,15
Dem vi sagde farvel til,15
Elektronik,5
Kõige otsituimad märksõnad Eestis,10
Eesti inimesed,5
TOP 10 sündmused,10
Puheenaiheet,15
Pitkä Kuuma Kesä,5
Miten?,10
Comment devenir...,5
La littérature,5
La politique,10
Les définitions,10
Les vedettes,5
Les émissions et séries TV,5
Pourquoi...,5
Allgemeine Suchbegriffe,20
Serien,10
Ταχύτερα Αυξανόμενες Αναζητήσεις,15
Συνταγές,15
Jugadores de fútbol,5
熱爆體育話題,5
熱爆外遊景點,5
Sportesemények,15
Dalszövegek,5
Filmek,10
TV műsorok,5
Peristiwa Hiburan,5
אנשים,10
טלוויזיה,5
Ricetta,5
急上昇ランキング,15
平成,5
◯◯とは,15
◯◯ 仕組み,5
Ең әйгілі сұранымдар/Самые популярные запросы,10
Жылдың адамы/Персона года,10
Жылдың фильмі/Фильм года,15
Жылдың сериалы/Сериал года,10
Жылдың телешоуы/ТВ-шоу года,5
Жылдың сатып алынған заты/Покупка года,10
Top Local Personalities,5
populārākie vārdi,5
visvairāk meklētie sporta notikumi,5
Visvairāk meklētie notikumi,5
Televizijos serialai,5
Carian,15
Orang,15
Berita & Peristiwa,5
Filem,10
Muzik,10
Nederlanders,10
Evenementen,5
Internationale Celebrity's,5
Nederlandse Overledenen,5
Nederlandse Politici,5
TV-programma's,15
Voetbalclubs,5
Global Figures,20
Hva er...?,5
Najpopularniejsze,5
Co to jest...?,5
Ile...?,5
Notícias,5
Nomes Nacionais,15
Nomes Internacionais,15
Show-uri TV,5
Smartphone-uri,15
Versuri,10
Ce este,10
Имена чемпионата мира по футболу,5
Как стать?,5
الأبحاث الرياضية,5
Najpretraživaniji pojmovi u Srbiji,15
TV serije,25
Top Trending Sporting News,5
Top Trending Farewells,5
Slováci a Slovenky,15
Ako?,15
Kedy?,10
Najbolj priljubljena iskanja,15
South African Personalities,5
스포츠,5
TV y Series,5
Vad?,10
Varför?,10
Årets mest trendande sökningar 2018,5
Aufreger und Skandale,5
Schweizer Events,10
ทีมฟุตบอล,5
ราคา,5
ร้าน,5
Fashion Brands,5
Fashion Searches,5
Who...?,10
World Cup Teams,5
Cómo... ?,5
Dónde...?,5
Qué es...?,5
Xu Hướng Tìm Kiếm Nổi Bật,10
10 Tin Tức Sự Kiện Nổi Bật,5
Bài Hát,5
Phim Truyện Trong Nước,5
Cách Làm,5
Du Lịch,10
Thiết Bị Điện Tử,5
Passings,15
Búsquedas 2019,15
Partidos de fútbol,15
Aussie Public Figures,5
How to…?,5
Aufreger & Schicksale Österreich,5
Chronik International,5
Technik-Trends,5
Was...?,5
Wie...?,10
Персона,10
Фильм,5
Сериал,5
ТВ-шоу,15
Wat is...,5
Buscas do ano,10
O que é,10
Como fazer,10
Programas de TV/Novelas,5
Shows,5
Times de Futebol,5
Изпълнители,5
Личности,10
Български реалити формати и сериали,5
Who...,5
Musicians & Bands,5
Toronto Raptors' Players,5
Tendencias 2019,25
Quién es,5
Tendencias del año,5
"Novelas, Series y Programas TV",10
¿Qué es?,10
Los que se fueron en 2019,5
Series / Novelas / Programas TV,15
Mujeres,5
Najtraženiji pojmovi u Hrvatskoj,10
Sportska događanja,5
Reality show,5
Události,5
České seriály,5
Jídlo,5
Sportovní události,5
Bedste...,10
Mest trendende søgninger,10
Steder,5
أبحاث عامة,10
TOP 10 otsituimat inimest,5
Uutiset,10
Les musiciens / chanteurs & chanteuses,5
Politische Schlagzeilen,5
Sportler,5
Αθλητικά,5
Ερωτήσεις 'Τι είναι',5
Τηλεοπτικές Εκπομπές,10
Actores y actrices,5
Sorozatok,10
Könyvek,10
Fesztiválok,5
Telefontípusok,5
Diéta,5
Apa itu...,10
Bagaimana cara...,10
אירועים בחדשות,5
סדרות,10
ריאליטי,5
Fai-da-te,5
令和,5
話題の映画,5
ラグビー選手,5
話題の夜景スポット,5
Ең көп сұралған тақырыптар/ Самые популярные запросы,5
Көп ізделген тұлғалар/ Персона года,5
Көп ізделген фильмдер/Фильм года,5
Көп ізделген сериалдар/Сериал года,5
Көп жасалған сауда-саттық/Покупка года,5
... дегеніміз не?/Что такое?,5
Trending How To (General),10
Trending How To (Tech),5
Trending Local Personalities,10
Trending Movies & TV Shows,10
Trending News,5
Populārākie vārdi,5
Meklētākie notikumi,5
Visvairāk meklētās filmas un TV raidījumi,5
Tendencingiausios paieškos,10
Renginiai,5
Kaip?,5
Anapilin išėję žmonės,5
Berita,15
Gajet,10
Sukan,10
Resipi,10
Programas TV / Series,5
Juegos / Apps,5
Individuals,5
Movies & Series,10
Artiesten,5
Wat betekent...?,5
Sporters,5
Songteksten,5
Stories,5
Trending questions (What is...),5
Trending questions (How to...),5
Music Artistes,5
Sports People,5
Hvordan...,10
Hvem...,5
Hva...,10
TV & film,5
De som gikk bort,5
Movies & TV,10
Co to jest... ?,5
O que...?,10
Cantantes y grupos,5
Cum să/se,5
Кто такой(-ая)?,5
Книги,5
Сериалы,10
С чем (как) носить...?,5
Что посмотреть в...?,5
Свадьбы,5
Как правильно...? (ЗОЖ),5
Trending International News,10
Trending Singapore News,10
Trending Sports Events,5
Trending TV Shows,10
Udalosti,5
Top trending 'Near Me' searches,5
Top trending movies,5
Top trending musical personalities,5
Top trending political figures and parties,5
Top trending questions,10
Top trending recipes,10
Top trending South African personalities,10
Top trending sports searches,10
국내 종합,5
인물 및 펭귄,5
Deportes y deportistas,5
"Cine, televisión y series",5
¿Cuándo...?,5
Gått bort,10
Hundraser,5
Hur,5
Mat och dryck,5
Nyheter och händelser,5
Vad,5
Varför,5
Årets mest trendande sökningar 2019,5
Schlagzeilen Schweiz,5
Persönlichkeiten Schweiz,10
Rezepte,5
快速竄升戲劇,10
ร้านค้า,5
วิธี,10
Genel,5
Втрати,10
Фільм,10
Серіал,10
Питання:  “Що таке?/Что такое?”,5
General Searches,5
Babies,10
Fashion Style searches,5
Home Style searches,5
Outfit ideas,5
People of the Red Carpet,5
Professional Sports Scores,5
Trip to...,5
Como...,5
Donde...,5
Peliculas,5
Que es...,5
Tin Tức,10
Phim Điện Ảnh,10
Địa Điểm Gần Đây,5
Phim Truyền Hình,5
Những Câu Hỏi Nổi Bật,5
Du Lịch Trong Nước,5
Búsquedas 2020,15
Dónde,5
En casa,15
News Topics,5
Australian Public Figures,5
Global Public Figures,5
Corona-Suchbegriffe,5
Aufreger & Schlagzeilen,5
Suchanfragen nach Rezepten für...,5
Comment...?,5
Politici nationaal / Politiciens nationaux,5
Aprender...,5
Campeonatos/Ligas esportivas,5
Em casa,5
Perguntas,5
Коронавирус,5
Рецепти,5
Season Finale,5
Workout,5
Definition,5
What...,5
L’année en recherches au Québec 2020,5
Top recherches - Nouvelles canadiennes 2020,5
Top recherches - Comment..? au Québec 2020,5
Top recherches de recettes au Québec 2020,5
Top recherches - Quand..? au Québec 2020,5
Top séries au Canada 2020,5
Tendencias 2020,30
Covid-19 en Colombia,5
Los que se fueron,25
"Novelas, series y programas de TV",15
¿Qué significa...?,10
COVID-19 en Costa Rica,5
"Música (artistas, canciones y grupos)",10
Mujeres 2020,10
Recepti,5
Aplikacije,5
Kako...?,5
České televizní pořady,5
Hjemmelavet...,5
Under juletræet,5
الأسئلة,5
المشاهير والشخصيات العامة,10
عمليات البحث الأكثر رواجاً,20
مباريات الدوري المصري لكرة القدم الأكثر رواجاً,5
Enim otsitud märksõnad,5
Filmid,5
Miten,5
Informations / Actualités,5
Coronavirus,15
A la maison,5
Coiffure,5
"Les ""comment"" ?",5
Les séries et programmes TV,5
Le sport,5
Paroles de chansons,5
Les célébrités,5
Chanteuses / Chanteurs / Musiciens,5
Disparitions,5
Corona,5
Wann-Fragen,5
Εκλιπούσες Διασημότητες,5
Αθλητικά γεγονότα,5
Επαναλαμβανόμενα γεγονότα,5
Κοντά μου...,5
Πού...,5
Πότε...,5
Τι είναι...,5
COVID-19 en Guatemala,5
"Novelas, series y programas TV",5
熱爆食譜搜尋,5
Koronavírus-járvány,5
Oktatás,5
Keresett kütyük,5
TV/Web Series,5
Film / TV Series,5
Lirik Lagu,5
Siapa...,5
הלכו לעולמם השנה,5
מילים של שירים,5
עשרת הגדולים 2020,5
פוליטיקה,5
קורונה,5
תכניות ריאלטי,5
Persone,5
Addii,5
Coltivare,5
Come fare...?,5
Cosa significa...?,5
Fai-da-te (a casa),5
Fai-da-te (per la persona),5
Perché...?,5
Vicino a me...,5
マスク,5
人名,5
作り方,5
方法,5
再放送ドラマ,5
...дегеніміз не?/Что такое?,5
Trending General,5
Trending Health,5
Trending How To  (Tech),10
Trending How To (Cook),5
Trending How To (Health),5
Trending Musicians,5
"Populārākie ""Google"" meklējumi 2020. gadā",5
Receptes,5
Paieškos su žodžiu kaip,5
Receptai,5
Bantuan Kewangan,5
Covid-19,10
Hiburan,5
Programas y Series de TV,5
Waarom...?,5
Acteurs en actrices,5
Bakken,5
Films & series,5
Hoe maak je...?,5
Nederlandse artiesten,5
Nieuws,5
Overleden,5
Recepten,5
News Event,5
Movies / TV Shows,5
Top Search,5
Events / Occasions,5
Covid-19 en Panamá,5
Jak zrobić?,5
Politycy,5
Pomysł na,5
"Programas, Séries e Filmes",5
Covid-19 en Puerto Rico,5
Personajes  del año,5
Puertorriqueños,5
Cum să/se...?,5
Când...?,5
«Что такое...?»/«Что значит...?»,5
В домашних условиях,5
Путешествия по России («Что посмотреть в...?»),5
الأفلام والمسلسلات,5
Sportski događaji,5
Trending Deliveries,5
Trending How-Tos,5
Trending International Personalities,5
Trending Mental Health Queries,5
Trending Singapore Personalities,5
Trending Workouts,5
2020,5
Top trending personalities - Loss,5
Top trending political figures,5
Top trending travel searches,5
Top trending ‘near me’ searches,5
뉴스/사회,5
드라마/예능,5
코로나19,5
Educación,5
¿Por qué...?,5
"Cine, tv y series",5
Hur?,5
Nyheter & Händelser,5
Underhållning,5
Årets mest trendande sökningar 2020,5
Persönlichkeiten International,5
Selber machen,5
คำค้นหาประจำปี 2563,5
ข่าว,5
เรียน,5
ที่เที่ยว,5
ประเภทร้าน,5
ร้านอาหาร/ร้านขนม,5
ออนไลน์,5
Aramalar,5
İsimler,5
Kaybettiklerimiz,5
Nasıl,5
Tarif,5
"Питання: “Що таке?/Что такое?""",5
Covid-19 Related Queries,5
Public Figures & Celebrities,5
Top trending Cricket Matches,5
Top Trending Queries,5
Trending News & Events,5
Top questions,5
Delivery,5
When...?,5
Beauty how to's,5
Definitions,5
How to donate...,5
How to help...,5
How to make...,5
How to style...,5
Virtual,5
Where to buy...,5
... during coronavirus,5
Dónde...,5
Quién...,5
Xu Hướng Tìm Kiếm Nổi Bật Nhất,5
Trực Tuyến,5
Học Tập Trực Tuyến,5
Phim Bộ,5
Ở Đâu?,5
Gần Đây,5
Cách Làm,5
Như Thế Nào?,5
Là Gì?,5
